date,albedo_i1,albedo_i2,albedo_i3,albedo_broadband,product,source
2012-01-18,0.36404848094751685,0.4041461933782741,0.1897786164405731,0.310023728437451,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-19,0.36249910861601525,0.40434173735992507,0.19104582585372895,0.3099893078171203,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-20,0.3639578464279069,0.4045400377487142,0.18950867352384126,0.310096089935362,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-21,0.423074974364789,0.4698967292105471,0.15977281026371465,0.3349702700309562,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-22,0.4334742360645173,0.4718801073071663,0.14928217005654368,0.33756327357763244,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-23,0.46379188640402513,0.44413264193031465,0.15444619986315053,0.34922415028712106,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-24,0.46420702074183556,0.44454348860922965,0.1505624245318278,0.34944526574214413,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-25,0.6037867377967157,0.5441368082417353,0.04732627549247223,0.3891497829371016,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-26,0.5849632740913532,0.5216319819637835,0.044150445858821025,0.3766399240909035,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-27,0.5925119104609241,0.5191023168566055,0.04111430332447662,0.3784657168747666,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-28,0.5829646496531024,0.5039920201104247,0.033988568035287346,0.36781973356111225,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-29,0.5809462925332444,0.502556709860098,0.03525509240613214,0.36708470250377406,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2012-01-30,0.5781511748562772,0.4993621529682797,0.03577416395928436,0.3655158318667414,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
