sensor,year,month,mean_albedo,n_obs,sd_albedo,date,mean_temp,total_precip,total_snowfall,mean_radiation
VIIRS,2012,1,0.35049610767873096,14,0.026591264699493054,2012-01-01,2.1392562646049753,819.333048303211,55.61390728462443,4089.2095180291144
VIIRS,2012,2,0.3449892455585939,29,0.046607882247290955,2012-02-01,2.4914815637570786,1213.197749250635,21.28564349291994,3148.1391602994017
VIIRS,2012,3,0.32238938016999724,31,0.01934527810219449,2012-03-01,2.006313214485456,1562.2421690197225,134.24084435726496,1495.4757843700381
VIIRS,2012,4,0.29718616513667545,30,0.019770660764410246,2012-04-01,1.4433096839588697,837.2758507049838,110.43126984397955,1245.5532150762729
VIIRS,2012,5,0.2744033356714097,31,0.018641122059393472,2012-05-01,0.043820151193909626,1555.2051678892246,685.3951812461685,628.4316914232161
VIIRS,2012,6,0.3136022639301763,25,0.08084285888099263,2012-06-01,-0.8943172958885747,1947.0794156315621,992.2904552895126,399.43770097081364
VIIRS,2012,7,0.25557785623809615,31,0.04165489720524769,2012-07-01,-1.2423143517364332,1390.2329228893816,671.8288857634749,495.9681444156077
VIIRS,2012,8,0.3476760388322479,31,0.050622482158222515,2012-08-01,-1.4517090472701704,1760.3076865171854,1007.2519654385528,931.9301184046114
VIIRS,2012,9,0.37497134617095146,30,0.06580291742433723,2012-09-01,-2.4279258434366464,1655.6801648546686,1049.8783898248078,1669.701125747023
VIIRS,2012,10,0.39026672874437324,31,0.03908182595195154,2012-10-01,-1.250660582986848,1635.2993342963064,887.0656011728113,2755.4606109087454
VIIRS,2012,11,0.42509134616155286,30,0.011191920973331906,2012-11-01,-0.9204494753837682,1183.349718524619,521.1295465036925,3908.2413104315415
VIIRS,2012,12,0.43965933282302366,31,0.013793151836249773,2012-12-01,0.8085448266576144,943.6678483731328,335.74286440105476,4414.71054406341
VIIRS,2013,1,0.38149622794310495,31,0.012588821386786797,2013-01-01,2.345438666362353,957.0711488842702,0.8628066158569491,4210.217005300299
VIIRS,2013,2,0.34533177501124523,28,0.014198876110212297,2013-02-01,2.503367723299168,1403.807113251607,18.005050128872586,2549.6867275540335
VIIRS,2013,3,0.3090367468661884,31,0.02196798968916147,2013-03-01,2.954566056233407,1515.5494435395838,18.91893421012753,1454.8024844148404
VIIRS,2013,4,0.30524105507557053,30,0.021823856771468385,2013-04-01,1.2519155698670195,1363.7775579433073,243.7843023580596,1059.9051207293692
VIIRS,2013,5,0.26242195450707756,31,0.022183465479354098,2013-05-01,-0.5945499333155384,1340.8421289391915,648.0794730940227,659.9943183911934
VIIRS,2013,6,0.3152443315514924,30,0.02916275727958806,2013-06-01,-1.754826218692138,1583.1636108913099,1126.7952158553635,393.5147541927192
VIIRS,2013,7,0.2964960907877538,31,0.042125119817189804,2013-07-01,-1.5651952919752563,1254.5330030413195,774.2750650054144,508.85172220566926
VIIRS,2013,8,0.3605526817442511,31,0.03899023221702365,2013-08-01,-2.521734988059705,1437.7734497781842,1158.275839356292,945.9749995844846
VIIRS,2013,9,0.38530030365934587,30,0.02803999939899218,2013-09-01,-2.850970907127372,1203.7781597206913,906.688492372461,1933.2046553897032
VIIRS,2013,10,0.44339534292251603,31,0.02105839353889959,2013-10-01,-2.069105560825956,1131.720208681844,857.8788656070884,2787.9757252670593
VIIRS,2013,11,0.3991885948559968,30,0.024661680963312605,2013-11-01,-0.6879186278574169,921.4234143463327,497.5502277483586,3732.179687447628
VIIRS,2013,12,0.3896791035161908,31,0.030366639083313666,2013-12-01,1.180027904599522,705.1947796855603,135.17362403970967,4106.548823087102
VIIRS,2014,1,0.3934069237361822,31,0.04596288889369044,2014-01-01,0.7432582906200162,1011.3218038846413,193.9943504248387,4098.519641023109
VIIRS,2014,2,0.3812531877133429,28,0.013465838189718141,2014-02-01,2.3435283906562345,1289.3168588550332,7.140554161521434,2793.0869925504326
VIIRS,2014,3,0.319464410928829,31,0.02477001933574417,2014-03-01,2.3334466358137007,1021.7399399568578,98.29546570084234,1594.1060126758837
VIIRS,2014,4,0.3009530029514557,30,0.030198971879068167,2014-04-01,0.6540507984311351,1382.1839976221897,472.39060992037173,1181.9882286759935
VIIRS,2014,5,0.2865382742600178,31,0.053689015822082735,2014-05-01,-1.4460470076666425,1254.0704856268462,776.0040880780803,695.184840609475
VIIRS,2014,6,0.2883637934005108,30,0.02889055472846392,2014-06-01,-0.9553656566309058,1266.4341215932855,664.9383591192928,400.6827567126601
VIIRS,2014,7,0.30284313542049635,31,0.01884696341172434,2014-07-01,-2.5983217767559763,1649.747635868847,1208.1128103451292,540.2881984528657
VIIRS,2014,8,0.35599319334316737,31,0.030220207378076996,2014-08-01,-4.74030721537035,1282.131999419877,1172.1927004973213,1074.84172473091
VIIRS,2014,9,0.39805120535690375,30,0.02079807198921527,2014-09-01,-4.182073584882521,1150.7833336941808,997.461784550596,1875.533527054795
VIIRS,2014,10,0.4284846324343604,31,0.024580072353449407,2014-10-01,-3.204267233687925,1100.490750006368,959.8400366603925,2856.1146396291047
VIIRS,2014,11,0.4372733099538683,30,0.012845990897628695,2014-11-01,-1.8685914280250422,901.9531479774741,511.5805563698972,3964.9095464601514
VIIRS,2014,12,0.36275623318217803,31,0.04757586391718102,2014-12-01,0.7338815059492609,1679.3597716501852,194.13912851091885,3856.8376504948255
VIIRS,2015,1,0.36285804167024904,31,0.02015201143583534,2015-01-01,1.3746638632737496,1257.351329068387,257.021086458594,3593.282459214908
VIIRS,2015,2,0.37049700486785603,28,0.008594685583684385,2015-02-01,1.7914844853965457,797.8946130889161,71.18197647741844,3088.052159144545
VIIRS,2015,3,0.3252184745015794,31,0.013768796427790572,2015-03-01,2.1301320648367286,981.0206490501505,27.04268833151255,1533.466759933366
VIIRS,2015,4,0.2683872337738499,30,0.04223293900820042,2015-04-01,0.33176049607612923,1222.6330114347218,323.912441321564,1187.5240131795128
VIIRS,2015,5,0.25029230997391905,31,0.05002009283128375,2015-05-01,1.2485743700083451,1411.0655938970297,242.25577020212017,539.629403155957
VIIRS,2015,6,0.28277514062916276,30,0.07473419374756662,2015-06-01,-2.497964198394722,1696.9334612790633,1136.2794362963537,433.0156568760078
VIIRS,2015,7,0.3322590537443287,31,0.049259310019945615,2015-07-01,-1.8173466653723291,1091.6532863347397,752.3015365828289,518.5221304329255
VIIRS,2015,8,0.316414901510326,31,0.019093197654926553,2015-08-01,-1.3294503189110698,1638.0813657139856,900.1351648320822,902.7174197926132
VIIRS,2015,9,0.39378467196893163,30,0.018869134144566865,2015-09-01,-2.814981123674959,1275.3214651645196,1036.3581834434333,1746.798817595651
VIIRS,2015,10,0.42869179622715303,31,0.024042941926929056,2015-10-01,-2.863213750132877,1383.5820540348393,1206.1600363106254,2857.2472506535837
VIIRS,2015,11,0.4125312808092907,30,0.027457827927389,2015-11-01,-1.2285173200443673,1303.9318208712714,459.2704236925933,4119.700940831917
VIIRS,2015,12,0.41282937150711774,31,0.01948010148150067,2015-12-01,0.43281984793666106,992.1026322267489,277.1160160895427,4302.873471036981
VIIRS,2016,1,0.3711193629849893,31,0.016765720464300866,2016-01-01,2.0437146249010043,1242.9420916013023,167.69179011964223,3691.45428154267
VIIRS,2016,2,0.34189617120444815,29,0.0317022939942172,2016-02-01,2.530353229762114,655.9105880125159,46.01753517144387,2735.197459813328
VIIRS,2016,3,0.2937533256308223,31,0.035750743366115716,2016-03-01,2.2247465497042036,781.9431471656984,15.356533045778951,1619.7512886791944
VIIRS,2016,4,0.31273080286426774,30,0.030146305875936193,2016-04-01,2.0068635705194073,1387.6634574027296,112.28601491009432,1076.006295058303
VIIRS,2016,5,0.24194976413751618,31,0.04054917691804932,2016-05-01,-1.382881393018637,1555.5315412309017,929.9410013587966,668.0425024881424
VIIRS,2016,6,0.16806877980428242,30,0.06354769457000033,2016-06-01,-0.4234367104985851,1380.9435759239225,627.3103214841318,412.57828869082743
VIIRS,2016,7,0.29736841877773396,31,0.05834398501657865,2016-07-01,-0.832983314161143,1397.782938016827,820.5920821562767,517.5126872687613
VIIRS,2016,8,0.3416911061579864,31,0.033063827642332455,2016-08-01,-2.5094915254078454,1443.5289467065932,1078.7352774312226,1068.7558398434965
VIIRS,2016,9,0.3378546915697438,30,0.028744760646360074,2016-09-01,-1.3468877160380577,1281.039712232166,609.1648958207518,1554.8783860738117
VIIRS,2016,10,0.3870291261757517,31,0.009611944907414108,2016-10-01,-0.5426665301200054,1250.7861580205988,534.706729182275,2587.191439864811
VIIRS,2016,11,0.4052432271682507,30,0.015530342660190842,2016-11-01,0.09148838856745543,1093.1274730618802,246.24895309312353,4070.068755797823
VIIRS,2016,12,0.3389443834775947,31,0.06467150699363666,2016-12-01,1.129974479247166,1268.8362992206025,271.92591701460503,4229.931858746833
VIIRS,2017,1,0.4059722090376806,31,0.017426536159923657,2017-01-01,1.983922406346162,981.0140523582714,73.11515754840245,3889.443349169699
VIIRS,2017,2,0.3596594956338322,28,0.02098586774284856,2017-02-01,3.2638408029486086,1212.9419393896037,288.5474538320568,2823.120064842023
VIIRS,2017,3,0.3220159451945319,31,0.029636523766563668,2017-03-01,2.2982861923520908,1317.7552283147595,53.431412401239136,1771.4645074210673
VIIRS,2017,4,0.32216336110644894,30,0.011916282619306561,2017-04-01,1.2560646800912465,1369.7287197580204,143.89707532978466,1302.1068322472322
VIIRS,2017,5,0.2567838744714785,31,0.0544272152221579,2017-05-01,-0.2155402452955374,1496.4954641810007,587.5714723569871,654.2326489948271
VIIRS,2017,6,0.32631846940770554,30,0.0688314223205623,2017-06-01,-0.3168162005038523,1360.5226501826792,697.3909679551033,387.030640313828
VIIRS,2017,7,0.2954373238628215,31,0.023750304053179943,2017-07-01,-0.5764938569205701,1523.1715746790487,733.0435126417566,465.4323147963068
